DateKey,Date,WeekDayName_Short,MonthName_Short,Year,IsWeekend,IsHoliday,HolidayName
20210101,2021-01-01,FRI,JAN,2021,False,False,
20210102,2021-01-02,SAT,JAN,2021,True,False,
20210103,2021-01-03,SUN,JAN,2021,True,False,
20210104,2021-01-04,MON,JAN,2021,False,False,
20210105,2021-01-05,TUE,JAN,2021,False,False,
20210106,2021-01-06,WED,JAN,2021,False,False,
20210107,2021-01-07,THU,JAN,2021,False,False,
20210108,2021-01-08,FRI,JAN,2021,False,False,
20210109,2021-01-09,SAT,JAN,2021,True,False,
20210110,2021-01-10,SUN,JAN,2021,True,False,
20210111,2021-01-11,MON,JAN,2021,False,False,
20210112,2021-01-12,TUE,JAN,2021,False,False,
20210113,2021-01-13,WED,JAN,2021,False,False,
20210114,2021-01-14,THU,JAN,2021,False,False,
20210115,2021-01-15,FRI,JAN,2021,False,False,
20210116,2021-01-16,SAT,JAN,2021,True,False,
20210117,2021-01-17,SUN,JAN,2021,True,False,
20210118,2021-01-18,MON,JAN,2021,False,False,
20210119,2021-01-19,TUE,JAN,2021,False,False,
20210120,2021-01-20,WED,JAN,2021,False,False,
20210121,2021-01-21,THU,JAN,2021,False,False,
20210122,2021-01-22,FRI,JAN,2021,False,False,
20210123,2021-01-23,SAT,JAN,2021,True,False,
20210124,2021-01-24,SUN,JAN,2021,True,False,
20210125,2021-01-25,MON,JAN,2021,False,False,
20210126,2021-01-26,TUE,JAN,2021,False,False,
20210127,2021-01-27,WED,JAN,2021,False,False,
20210128,2021-01-28,THU,JAN,2021,False,False,
20210129,2021-01-29,FRI,JAN,2021,False,False,
20210130,2021-01-30,SAT,JAN,2021,True,False,
20210131,2021-01-31,SUN,JAN,2021,True,False,
20210201,2021-02-01,MON,FEB,2021,False,False,
20210202,2021-02-02,TUE,FEB,2021,False,False,
20210203,2021-02-03,WED,FEB,2021,False,False,
20210204,2021-02-04,THU,FEB,2021,False,False,
20210205,2021-02-05,FRI,FEB,2021,False,False,
20210206,2021-02-06,SAT,FEB,2021,True,False,
20210207,2021-02-07,SUN,FEB,2021,True,False,
20210208,2021-02-08,MON,FEB,2021,False,False,
20210209,2021-02-09,TUE,FEB,2021,False,False,
20210210,2021-02-10,WED,FEB,2021,False,False,
20210211,2021-02-11,THU,FEB,2021,False,False,
20210212,2021-02-12,FRI,FEB,2021,False,False,
20210213,2021-02-13,SAT,FEB,2021,True,False,
20210214,2021-02-14,SUN,FEB,2021,True,False,
20210215,2021-02-15,MON,FEB,2021,False,False,
20210216,2021-02-16,TUE,FEB,2021,False,False,
20210217,2021-02-17,WED,FEB,2021,False,False,
20210218,2021-02-18,THU,FEB,2021,False,False,
20210219,2021-02-19,FRI,FEB,2021,False,False,
20210220,2021-02-20,SAT,FEB,2021,True,False,
20210221,2021-02-21,SUN,FEB,2021,True,False,
20210222,2021-02-22,MON,FEB,2021,False,False,
20210223,2021-02-23,TUE,FEB,2021,False,False,
20210224,2021-02-24,WED,FEB,2021,False,False,
20210225,2021-02-25,THU,FEB,2021,False,False,
20210226,2021-02-26,FRI,FEB,2021,False,False,
